term,score,label
eh,1.04,abstract
essentialness,1.04,abstract
although,1.07,abstract
spirituality,1.07,abstract
would,1.12,abstract
spiritually,1.14,abstract
whatsoever,1.17,abstract
conceptualistic,1.18,abstract
conventionalism,1.18,abstract
enlightening,1.19,abstract
perhaps,1.19,abstract
if,1.19,abstract
belief,1.19,abstract
idealize,1.19,abstract
inasmuch,1.2,abstract
though,1.2,abstract
agnostically,1.2,abstract
ambivalent,1.21,abstract
idealistic,1.21,abstract
inexplicable,1.21,abstract
figuratively,1.21,abstract
intuitively,1.21,abstract
terribly,1.21,abstract
in principle,1.21,abstract
interpretively,1.21,abstract
unenvied,1.21,abstract
infinitely,1.22,abstract
because,1.22,abstract
irresolutely,1.22,abstract
intuitive,1.23,abstract
thusly,1.23,abstract
wherever,1.23,abstract
zing,1.23,abstract
infinitively,1.23,abstract
someway,1.24,abstract
advantageously,1.24,abstract
inconclusiveness,1.24,abstract
absurdity,1.25,abstract
hope,1.25,abstract
knowingness,1.25,abstract
conceptual,1.26,abstract
herewith,1.26,abstract
ultimately,1.26,abstract
answerability,1.26,abstract
objectivism,1.26,abstract
treasonously,1.26,abstract
meanwhile,1.27,abstract
nonetheless,1.27,abstract
infinitive,1.27,abstract
futureless,1.27,abstract
improvable,1.27,abstract
undisputedly,1.27,abstract
unendingly,1.27,abstract
unmeant,1.27,abstract
fantastical,1.28,abstract
sanctimonious,1.28,abstract
unpromising,1.28,abstract
especially,1.28,abstract
inadvertently,1.28,abstract
preferentially,1.28,abstract
somehow,1.28,abstract
somewhat,1.28,abstract
inconsequence,1.28,abstract
acceptableness,1.28,abstract
figurativeness,1.28,abstract
hallowedness,1.28,abstract
prophetical,1.28,abstract
inadvisable,1.29,abstract
injunctive,1.29,abstract
unfathomably,1.29,abstract
indeterminately,1.29,abstract
unexceptionably,1.29,abstract
ethical,1.3,abstract
hypothetical,1.3,abstract
ingenuous,1.3,abstract
intangible,1.3,abstract
psychopathological,1.3,abstract
surreal,1.3,abstract
justifiably,1.3,abstract
objectively,1.3,abstract
unadvisedly,1.3,abstract
vitally,1.3,abstract
whichever,1.3,abstract
ambiguity,1.3,abstract
glorification,1.3,abstract
inapprehensive,1.3,abstract
inscrutableness,1.3,abstract
irrespectively,1.3,abstract
